Personal-Nr,ABCStatus,Status,Beruf,Einstellungsberuf,Berufschl,Qualifiaktion,Profil
62504,T,1,,,1,715,
61554,T,1,,,1,712,
61502,I,1,,,1,731,
61669,T,1,,,1,731,
62026,A,1,,,1,714,
62312,T,1,,,1,705,
62177,T,1,,,1,731,
61681,I,1,,,1,731,
61850,I,1,,,1,760,
61850,I,1,,,1,752,
61850,I,1,,,1,714,
61151,A,2,158,Fachhelfer/in - Industrie,1,113,
61151,A,2,158,Fachhelfer/in - Industrie,1,143,
61151,A,2,158,Fachhelfer/in - Industrie,1,155,
61151,A,2,158,Fachhelfer/in - Industrie,1,156,
61151,A,2,158,Fachhelfer/in - Industrie,1,117,
61932,T,1,,,1,704,
61426,T,1,,,1,701,
62246,B,1,,,1,113,
62246,B,1,,,1,155,
61817,B,2,10007,Produktionshelfer/in - Metall,1,800,
61817,B,2,10007,Produktionshelfer/in - Metall,1,113,
62153,A,1,,,1,173,
62153,A,1,,,1,108,
62353,,1,,,1,156,TEst45963 
62353,,1,,,1,157,TEst45963 
62352,,1,,,1,155,
62352,,1,,,1,156,
61618,I,1,,,1,740,
62416,T,1,,,1,801,
61574,I,1,,,1,702,
61916,I,1,,,1,704,
61926,I,1,,,1,760,
61926,I,1,,,1,752,
62086,I,1,,,1,714,
61373,T,1,,,1,711,
61877,A,1,,,1,113,
61877,A,1,,,1,155,
61877,A,1,,,1,168,
61903,I,1,,,1,740,
62152,I,1,,,1,762,
61608,I,1,,,1,740,
62359,I,1,,,1,715,
62378,B,2,10009,Produktionshelfer/in - Elektro,1,173,
62378,B,2,10009,Produktionshelfer/in - Elektro,1,157,
62378,B,2,10009,Produktionshelfer/in - Elektro,1,118,
62097,T,1,,,1,705,
62393,T,1,,,1,731,
62187,,1,,,1,714,
62187,,1,,,1,715,
61438,I,1,,,1,712,
62475,I,1,,,1,801,
62475,I,1,,,1,706,
62479,I,1,,,1,736,
61829,I,1,,,1,703,
62254,I,1,,,1,753,
61660,I,1,,,1,730,
61660,I,1,,,1,731,
61211,T,2,158,Fachhelfer/in - Industrie,1,156,
61211,T,2,158,Fachhelfer/in - Industrie,1,118,
62123,I,1,,,1,752,
62123,I,1,,,1,753,
61807,A,1,,,1,174,
61807,A,1,,,1,155,
61807,A,1,,,1,168,
17098,I,1,,,1,740,
17098,I,1,,,1,741,
62018,T,1,,,1,704,
61871,T,1,,,1,703,
62374,T,1,,,1,122,
62374,T,1,,,1,172,
62374,T,1,,,1,123,
62374,T,1,,,1,705,
62392,T,1,,,1,705,
62317,I,1,,,1,762,
